x,y
-5,0.283664214133
-4.9,0.18651367241
-4.8,0.087499812669
-4.7,-0.01238814077
-4.6,-0.112152200739
-4.5,-0.210800363664
-4.4,-0.307335787298
-4.3,-0.4008010175
-4.2,-0.490261976097
-4.1,-0.574824660935
-4,-0.653644057589
-3.9,-0.72593256785
-3.8,-0.790963605517
-3.7,-0.848097485911
-3.6,-0.896756858742
-3.5,-0.936455747507
-3.4,-0.966797633857
-3.3,-0.987479442886
-3.2,-0.998294587535
-3.1,-0.999138520494
-3,-0.989994494902
-2.9,-0.97095932904
-2.8,-0.94222300574
-2.7,-0.904072514348
-2.6,-0.856888957272
-2.5,-0.801143724592
-2.4,-0.737391359424
-2.3,-0.666274720306
-2.2,-0.588500417734
-2.1,-0.504845739238
-2,-0.416146651702
-1.9,-0.323289476574
-1.8,-0.227204467362
-1.7,-0.128845691538
-1.6,-0.029200101752
-1.5,0.070736934117
-1.4,0.169967025806
-1.3,0.267498780434
-1.2,0.362357736009
-1.1,0.453596829683
-1,0.540302579365
-0.9,0.62161006377
-0.8,0.696706738794
-0.7,0.76484219504
-0.6,0.8253352
-0.5,0.877582465278
-0.4,0.921060977778
-0.3,0.9553364875
-0.2,0.980066666667
-0.1,0.995004166667
-0,1
0.1,643.286880803087
0.2,643.97987838348
0.3,644.385210221357
0.4,644.672954127737
0.5,644.896113050922
0.6,645.078309874482
0.7,645.232512240441
0.8,645.365980449184
0.9,645.483854008253
1.1,645.684355261386
1.2,645.7714362245
1.3,645.851466142889
1.4,645.925536919235
1.5,645.994450499481
1.6,646.059110405989
1.7,646.119721678395
1.8,646.176856401784
1.9,646.230885386934
2,646.282121281374
2.1,646.331032406719
2.2,646.377537679847
2.3,646.421968088217
2.4,646.464498029572
2.5,646.505280204561
2.6,646.544449041152
2.7,646.582326252275
2.8,646.618676048041
2.9,646.653744301836
3,646.687616670117
3.1,646.720370254369
3.2,646.752074694398
3.3,646.782793094677
3.4,646.812814009991
3.5,646.841779041928
3.6,646.869922849414
3.7,646.897289647478
3.8,646.92392005849
3.9,646.949851488559
4,646.975319390342
4.1,646.999990773032
4.2,647.024063593244
4.3,647.047565516888
4.4,647.070522272494
4.5,647.092957826773
4.6,647.114894541029
4.7,647.136557410251
4.8,647.157588261256
4.9,647.178182003808
5,647.198355948817
